r;rid;node1;node2;type;w
r;23932556;20164;239128;0;1000000
r;73954850;20164;2983124;555;16261
r;318878333;20164;2983124;0;9822
r;141786;20164;15196;17;876
r;96710419;20164;217380;106;623
r;191530;20164;71115;6;579
r;2007806;20164;223173;36;555
r;191533;20164;17559;6;507
r;457370341;20164;17116691;128;355
r;158002;20164;17559;0;351
r;1758025;20164;17559;35;346
r;1540033;20164;213809;1;344
r;141787;20164;128961;17;330
r;450191797;20164;16937610;128;275
r;141393;20164;29899;0;271
r;414703703;20164;15935181;128;251
r;414716347;20164;15936864;128;249
r;2241059;20164;223172;36;231
r;9904697;20164;27154;6;220
r;24905571;20164;147184;9;209
r;208831;20164;1508;11;200
r;204236;20164;156151;11;199
r;191531;20164;63235;6;188
r;2377800;20164;81081;6;188
r;2021634;20164;241794;36;184
r;121291;20164;71115;0;183
r;149089;20164;71670;0;182
r;9919781;20164;156371;6;182
r;10760310;20164;265839;6;177
r;1934311;20164;202;11;170
r;9920993;20164;110773;6;168
r;14402158;20164;91794;6;164
r;1819300;20164;154397;11;164
r;1934314;20164;48806;11;164
r;1934315;20164;159665;11;164
r;1934316;20164;151556;11;164
r;1934317;20164;152782;11;164
r;1934318;20164;151559;11;164
r;1934319;20164;156329;11;164
r;1934320;20164;151558;11;164
r;1934321;20164;156031;11;164
r;1934322;20164;153648;11;164
r;1934323;20164;153647;11;164
r;1934326;20164;186602;11;164
r;1934330;20164;151557;11;164
r;1934331;20164;177254;11;164
r;65800;20164;76234;0;163
r;1934312;20164;164889;11;163
r;1934313;20164;170806;11;163
r;14402267;20164;101018;6;162
r;8688021;20164;212529;11;162
r;8751067;20164;283901;11;162
r;168966;20164;10370;0;161
r;191532;20164;86640;6;161
r;8708031;20164;243457;11;161
r;8720958;20164;256261;11;161
r;8727643;20164;260945;11;161
r;8727648;20164;260949;11;161
r;361606;20164;18412;3;160
r;8727647;20164;260948;11;160
r;1934328;20164;170805;11;153
r;10766670;20164;264881;6;152
r;149088;20164;76046;0;151
r;15451570;20164;18412;0;151
r;10861766;20164;265277;6;151
r;401864;20164;16033;3;149
r;52641295;20164;187307;18;148
r;9355957;20164;140100;0;146
r;10784134;20164;317929;6;145
r;213981928;20164;9485263;128;145
r;15450652;20164;16033;0;140
r;122452;20164;74183;17;140
r;122453;20164;55222;17;140
r;10921498;20164;142602;6;139
r;12045174;20164;330964;6;139
r;461443026;20164;17168503;140;139
r;2895465;20164;248081;6;137
r;11253634;20164;265220;6;136
r;422954;20164;71670;22;130
r;10749745;20164;115304;6;126
r;195967;20164;36294;6;123
r;1934327;20164;220752;11;123
r;10755032;20164;264880;6;122
r;390332546;20164;6948495;333;121
r;168964;20164;58644;0;120
r;15451572;20164;76247;0;120
r;361605;20164;76247;3;120
r;506267;20164;140100;6;120
r;10778877;20164;264908;6;120
r;1530671;20164;210227;6;118
r;1758026;20164;140100;35;116
r;93821451;20164;3762435;6;114
r;141903;20164;95256;0;113
r;1577785;20164;130371;22;110
r;12554561;20164;386707;11;109
r;1540027;20164;213808;1;108
r;9918872;20164;165062;6;108
r;12631615;20164;367656;11;108
r;12732231;20164;343117;11;108
r;9763045;20164;81081;0;107
r;9915905;20164;155633;6;107
r;12622919;20164;369904;11;107
r;12658885;20164;360970;11;107
r;12710345;20164;348239;11;107
r;405562825;20164;15764631;128;107
r;1661644;20164;40310;6;106
r;9898400;20164;152150;6;106
r;12681591;20164;355392;11;106
r;479479426;20164;315902;0;105
r;12658877;20164;360972;11;103
r;12658881;20164;360971;11;103
r;170313;20164;48496;17;103
r;12649665;20164;363194;11;102
r;12658869;20164;360974;11;101
r;12658873;20164;360973;11;101
r;12722915;20164;345387;11;101
r;422955;20164;10370;22;101
r;34484615;20164;248660;66;100
r;34484696;20164;245124;66;100
r;374439474;20164;14727926;66;100
r;126818853;20164;7903991;140;100
r;1956156;20164;233133;6;99
r;9611311;20164;55823;6;98
r;14414152;20164;329657;6;96
r;414304;20164;17936;15;94
r;433819821;20164;16437286;66;94
r;11119068;20164;325741;6;93
r;651337;20164;171870;4;91
r;414303;20164;135655;15;91
r;650259;20164;95605;15;90
r;9623366;20164;63235;0;89
r;158001;20164;135655;0;88
r;11128539;20164;325738;6;87
r;126897817;20164;7924175;128;87
r;11135242;20164;325736;6;86
r;3203288;20164;117095;0;85
r;498948;20164;117095;3;83
r;11141860;20164;325731;6;81
r;195481894;20164;76234;102;81
r;148094;20164;147184;0;80
r;414075668;20164;15900797;128;79
r;11148481;20164;325728;6;78
r;650258;20164;17023;15;78
r;9352983;20164;166211;0;77
r;2613206;20164;130164;24;77
r;471565673;20164;17348307;24;77
r;30398643;20164;1882131;128;77
r;290377533;20164;11334540;128;77
r;11275921;20164;265220;0;76
r;11168730;20164;325728;0;75
r;1758021;20164;228453;1;75
r;428845;20164;166211;35;75
r;30398392;20164;1882072;128;75
r;54703228;20164;50575;5;74
r;362695;20164;56280;0;73
r;11181970;20164;325731;0;73
r;10927023;20164;54794;6;71
r;370671;20164;64238;17;71
r;11195209;20164;325736;0;70
r;15450654;20164;49615;0;70
r;401863;20164;49615;3;70
r;54846545;20164;40310;5;70
r;54946433;20164;7100;5;70
r;631890;20164;189981;6;70
r;13982297;20164;260820;6;70
r;237870;20164;95256;9;70
r;1672077;20164;223471;22;70
r;148095;20164;109638;0;69
